City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
558,Eyl,SO,7.9803,49.8164,77.41,71,78,13.29,broken clouds
559,Tadine,NC,-21.55,167.8833,78.04,80,64,7.94,broken clouds
560,Moncagua,SV,13.5333,-88.25,98.94,28,10,2.57,clear sky
561,Soyo,AO,-6.1349,12.3689,80.94,78,100,7.56,overcast clouds
562,Susner,IN,23.95,76.0833,76.41,25,0,2.84,clear sky
563,Kovylkino,RU,54.0388,43.9139,8.01,94,100,0.69,overcast clouds
564,Andijon,UZ,40.7821,72.3442,54.68,79,100,2.59,overcast clouds
565,El Dorado,US,38.7666,-120.5177,61.38,40,0,3.0,clear sky
566,Port Hedland,AU,-20.3167,118.5667,80.65,89,17,6.91,few clouds
567,Heishan,CN,41.6892,122.1128,38.61,92,87,6.08,overcast clouds
568,Faya,SA,18.3851,42.4509,60.91,65,11,3.4,few clouds
569,Pangnirtung,CA,66.1451,-65.7125,-22.0,69,0,0.0,clear sky
570,Kaseda,JP,31.4167,130.3167,60.71,76,44,9.01,scattered clouds
571,Wilmington,US,34.2257,-77.9447,64.31,82,100,23.02,overcast clouds
572,San Quintin,MX,30.4833,-115.95,66.29,25,93,4.14,overcast clouds
573,San Lawrenz,MT,36.0553,14.204,51.85,84,100,3.0,overcast clouds
574,Bom Jardim,BR,-7.7958,-35.5872,89.04,41,87,11.25,overcast clouds
575,Sulangan,PH,11.1373,123.7228,81.07,83,99,4.92,overcast clouds
576,Novo Oriente,BR,-5.5344,-40.7742,83.05,65,98,0.47,overcast clouds
577,Pontian Kecil,MY,1.4801,103.3899,77.32,87,18,6.06,few clouds
578,Goundam,ML,16.4145,-3.6708,90.23,8,2,9.28,clear sky
579,Corrente,BR,-3.7367,-43.3394,84.6,64,96,0.56,overcast clouds
580,Buala,SB,-8.145,159.5921,76.77,91,100,0.6,light rain
581,Soroti,UG,1.7146,33.6111,82.94,22,84,13.98,broken clouds
582,Barahona,DO,18.2085,-71.1008,85.82,62,20,18.41,few clouds
583,El Campo,US,29.1966,-96.2697,52.09,25,0,8.05,clear sky
584,Seoul,KR,37.5683,126.9778,52.99,94,100,5.88,heavy intensity rain
585,Norden,DE,53.6,7.2,51.94,81,100,10.33,overcast clouds
586,Liuzhou,CN,24.3126,109.3892,73.6,72,100,3.69,overcast clouds
587,Inhambane,MZ,-23.865,35.3833,76.08,73,31,7.09,scattered clouds
588,Kamaishi,JP,39.2667,141.8833,39.4,65,100,2.98,overcast clouds
589,Crotone,IT,39.0851,17.1178,44.55,56,0,10.36,clear sky
590,Hede,CN,33.7681,120.2517,55.33,96,100,3.71,moderate rain
591,Berwick,US,41.0545,-76.2333,28.11,87,100,16.64,snow
592,Chiang Klang,TH,19.2938,100.8617,79.74,64,33,1.41,scattered clouds
593,Lasa,IT,46.6166,10.7002,37.69,96,97,3.69,overcast clouds
594,Vyartsilya,RU,62.1764,30.693,30.94,98,96,2.21,overcast clouds
595,Barguzin,RU,53.6167,109.6167,-0.44,82,70,1.95,broken clouds
596,Vangaindrano,MG,-23.35,47.6,74.28,90,22,4.85,light rain
597,Bandarbeyla,SO,9.4942,50.8122,77.47,74,78,12.55,broken clouds
598,Lighthouse Point,US,26.2756,-80.0873,90.03,63,40,25.32,scattered clouds
599,Erie,US,42.7667,-78.6664,26.58,61,100,8.99,overcast clouds
600,Xining,CN,36.6167,101.7667,43.61,17,26,2.62,scattered clouds
601,Kununurra,AU,-15.7667,128.7333,78.78,94,78,0.0,broken clouds
602,Agadir,MA,30.4202,-9.5982,64.85,69,94,7.31,overcast clouds
603,Fukue,JP,32.6881,128.8419,63.46,79,93,18.99,overcast clouds
604,La Libertad,EC,-2.2333,-80.9,85.66,74,40,10.36,scattered clouds
605,Nouadhibou,MR,20.931,-17.0347,66.79,73,0,23.44,clear sky
606,Williamsport,US,41.2412,-77.0011,25.39,85,100,20.71,heavy snow
607,Miri,MY,4.4148,114.0089,73.54,100,40,3.44,scattered clouds
608,Gachala,CO,4.6924,-73.5204,72.63,70,100,5.03,overcast clouds
609,Elmadag,TR,39.9208,33.2308,24.93,51,100,2.48,overcast clouds
610,Conakry,GN,9.538,-13.6773,86.07,45,23,11.5,haze
611,Kirksville,US,40.1948,-92.5833,23.05,40,0,8.05,clear sky
612,Bambanglipuro,ID,-7.95,110.2833,77.47,90,100,3.13,overcast clouds
613,Garden City,US,42.3256,-83.331,23.9,52,75,20.71,broken clouds
614,Pyinmana,MM,19.7333,96.2167,80.56,41,30,3.6,scattered clouds
615,Chik,RU,54.9928,82.4311,-0.65,71,0,6.71,clear sky
616,Tazovskiy,RU,67.4667,78.7,-13.04,99,13,9.8,few clouds
617,Tvedestrand,NO,58.622,8.9315,36.73,82,77,6.46,broken clouds
618,Geraldton,AU,-28.7667,114.6,64.81,82,21,3.44,few clouds
619,Jalu,LY,29.0331,21.5482,59.11,40,0,5.77,clear sky
620,Rantoul,US,40.3084,-88.1559,21.04,62,0,16.11,clear sky
621,Bubaque,GW,11.2833,-15.8333,76.53,71,32,16.06,scattered clouds
622,Santa Cruz De Tenerife,ES,28.4682,-16.2546,69.91,83,75,20.71,broken clouds
623,Songea,TZ,-10.6833,35.65,65.34,98,98,5.35,moderate rain
624,Sooke,CA,48.3746,-123.7276,45.41,93,100,17.27,overcast clouds
625,Port Macquarie,AU,-31.4333,152.9167,60.89,86,75,4.94,broken clouds
626,Quetigny,FR,47.3167,5.1167,52.54,66,0,2.3,clear sky
627,Abonnema,NG,4.7084,6.7931,83.23,71,95,11.52,overcast clouds
628,Caldwell,US,43.6629,-116.6874,57.07,38,0,11.5,clear sky
629,Umea,SE,63.8284,20.2597,31.93,100,100,4.61,mist
630,Sinnamary,GF,5.3833,-52.95,78.84,88,77,12.19,broken clouds
631,Sanghar,PK,26.0466,68.9481,83.71,19,0,9.19,clear sky
632,Sola,VU,-13.8833,167.55,75.87,94,40,0.0,scattered clouds
633,Chinar,RU,42.108,48.1432,33.55,77,97,1.72,overcast clouds
634,Usinsk,RU,65.9939,57.5281,23.2,96,100,10.67,overcast clouds
635,Konevo,RU,62.1215,39.3192,30.52,94,100,5.41,overcast clouds
636,Leshukonskoye,RU,64.8989,45.7622,26.94,94,100,10.42,light snow
637,Eqbaliyeh,IR,35.3022,51.5358,62.42,20,100,6.96,overcast clouds
638,Belgrade,RS,44.804,20.4651,35.38,47,0,2.3,clear sky
639,Badhni Kalan,IN,30.6833,75.2833,65.21,43,40,6.69,scattered clouds
