City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
604,La Libertad,EC,85.66,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
610,Conakry,GN,86.07,haze,9.538,-13.6773,Riviera Royal Hotel
612,Bambanglipuro,ID,77.47,overcast clouds,-7.95,110.2833,Puri Brata
614,Pyinmana,MM,80.56,scattered clouds,19.7333,96.2167,Anh Mai Daung
621,Bubaque,GW,76.53,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
627,Abonnema,NG,83.23,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
630,Sinnamary,GF,78.84,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
631,Sanghar,PK,83.71,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
632,Sola,VU,75.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
640,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
643,Laem Sing,TH,85.14,broken clouds,12.4816,102.0738,Laemsing Whitehouse Resort
655,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
659,Acari,PE,84.78,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
662,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
664,Maningrida,AU,79.84,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
666,Santo Antonio Do Monte,BR,79.23,overcast clouds,-20.0872,-45.2936,Hotel Planalto
667,Harper,LR,82.96,light rain,4.375,-7.7169,Screensaver
668,Kattivakkam,IN,81.07,few clouds,13.2167,80.3167,Euronova Freezer
670,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
672,Caibarien,CU,88.92,clear sky,22.5206,-79.4669,La Nena
678,Bull Savanna,JM,82.53,clear sky,17.8868,-77.5902,Big Red's
679,Bocaiuva,BR,89.31,broken clouds,-17.1078,-43.815,Hotel Maxim's
687,Robertsport,LR,81.14,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
691,Denpasar,ID,82.06,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
692,Eydhafushi,MV,82.72,clear sky,5.1033,73.0708,Soneva Fushi
